Language,Branch,Dialect,Source,Segment,Type,Notes
Asho,Southern,Hill,Tignor,pʰ,consonant,
Asho,Southern,Hill,Tignor,p,consonant,
Asho,Southern,Hill,Tignor,b,consonant,
Asho,Southern,Hill,Tignor,m̥,consonant,
Asho,Southern,Hill,Tignor,m,consonant,
Asho,Southern,Hill,Tignor,w,consonant,
Asho,Southern,Hill,Tignor,t,consonant,
Asho,Southern,Hill,Tignor,tʰ,consonant,
Asho,Southern,Hill,Tignor,ɗ,consonant,
Asho,Southern,Hill,Tignor,s,consonant,
Asho,Southern,Hill,Tignor,sʰ,consonant,
Asho,Southern,Hill,Tignor,z,consonant,
Asho,Southern,Hill,Tignor,n̥,consonant,
Asho,Southern,Hill,Tignor,n,consonant,
Asho,Southern,Hill,Tignor,ɹ,consonant,
Asho,Southern,Hill,Tignor,l̥,consonant,
Asho,Southern,Hill,Tignor,l,consonant,
Asho,Southern,Hill,Tignor,ɕ,consonant,
Asho,Southern,Hill,Tignor,tɕʰ,consonant,
Asho,Southern,Hill,Tignor,tɕ,consonant,
Asho,Southern,Hill,Tignor,dʑ,consonant,
Asho,Southern,Hill,Tignor,ɲ,consonant,
Asho,Southern,Hill,Tignor,ɲ̥,consonant,
Asho,Southern,Hill,Tignor,j,consonant,
Asho,Southern,Hill,Tignor,ŋ,consonant,
Asho,Southern,Hill,Tignor,ŋ̊,consonant,
Asho,Southern,Hill,Tignor,k,consonant,
Asho,Southern,Hill,Tignor,kʰ,consonant,
Asho,Southern,Hill,Tignor,g,consonant,
Asho,Southern,Hill,Tignor,ʔ,consonant,
Asho,Southern,Hill,Tignor,h,consonant,
Asho,Southern,Hill,Tignor,ɦ,consonant,
Asho,Southern,Hill,Tignor,i,vowel,
Asho,Southern,Hill,Tignor,ɪ,vowel,
Asho,Southern,Hill,Tignor,ʏ,vowel,
Asho,Southern,Hill,Tignor,e,vowel,
Asho,Southern,Hill,Tignor,ɛ,vowel,
Asho,Southern,Hill,Tignor,ʉ,vowel,
Asho,Southern,Hill,Tignor,a,vowel,
Asho,Southern,Hill,Tignor,u,vowel,
Asho,Southern,Hill,Tignor,ɤ,vowel,
Asho,Southern,Hill,Tignor,o,vowel,
Asho,Southern,Hill,Tignor,ɔ,vowel,
Asho,Southern,Hill,Tignor,a,vowel,
Asho,Southern,Hill,Tignor,ei,vowel,
Asho,Southern,Hill,Tignor,ai,vowel,
Asho,Southern,Hill,Tignor,au,vowel,
Asho,Southern,,Otsuka2015,p,consonant,
Asho,Southern,,Otsuka2015,pʰ,consonant,
Asho,Southern,,Otsuka2015,b,consonant,
Asho,Southern,,Otsuka2015,m̥,consonant,
Asho,Southern,,Otsuka2015,m,consonant,
Asho,Southern,,Otsuka2015,w,consonant,
Asho,Southern,,Otsuka2015,t,consonant,
Asho,Southern,,Otsuka2015,tʰ,consonant,
Asho,Southern,,Otsuka2015,d,consonant,
Asho,Southern,,Otsuka2015,s,consonant,
Asho,Southern,,Otsuka2015,sʰ,consonant,
Asho,Southern,,Otsuka2015,z,consonant,
Asho,Southern,,Otsuka2015,n̥,consonant,
Asho,Southern,,Otsuka2015,n,consonant,
Asho,Southern,,Otsuka2015,ɹ,consonant,
Asho,Southern,,Otsuka2015,l̥,consonant,
Asho,Southern,,Otsuka2015,l,consonant,
Asho,Southern,,Otsuka2015,ɕ,consonant,
Asho,Southern,,Otsuka2015,tɕ,consonant,
Asho,Southern,,Otsuka2015,tɕʰ,consonant,
Asho,Southern,,Otsuka2015,dʑ,consonant,
Asho,Southern,,Otsuka2015,ɲ̊,consonant,
Asho,Southern,,Otsuka2015,ɲ,consonant,
Asho,Southern,,Otsuka2015,j,consonant,
Asho,Southern,,Otsuka2015,k,consonant,
Asho,Southern,,Otsuka2015,kʰ,consonant,
Asho,Southern,,Otsuka2015,g,consonant,
Asho,Southern,,Otsuka2015,ŋ̊,consonant,
Asho,Southern,,Otsuka2015,ŋ,consonant,
Asho,Southern,,Otsuka2015,ʔ,consonant,
Asho,Southern,,Otsuka2015,h,consonant,
Asho,Southern,,Otsuka2015,ɦ,consonant,
Asho,Southern,,Otsuka2015,i,vowel,
Asho,Southern,,Otsuka2015,ɪ,vowel,
Asho,Southern,,Otsuka2015,ʏ,vowel,
Asho,Southern,,Otsuka2015,e,vowel,
Asho,Southern,,Otsuka2015,ɛ,vowel,
Asho,Southern,,Otsuka2015,u,vowel,
Asho,Southern,,Otsuka2015,ʊ,vowel,
Asho,Southern,,Otsuka2015,o,vowel,
Asho,Southern,,Otsuka2015,o,vowel,
Asho,Southern,,Otsuka2015,a,vowel,
Asho,Southern,,Otsuka2015,ɑɪ,vowel,
Asho,Southern,,Otsuka2015,ɑʊ,vowel,
Daai,Southern,Yang,So-Hartmann,p,consonant,
Daai,Southern,Yang,So-Hartmann,pʰ,consonant,
Daai,Southern,Yang,So-Hartmann,b,consonant,
Daai,Southern,Yang,So-Hartmann,m̥,consonant,
Daai,Southern,Yang,So-Hartmann,m,consonant,
Daai,Southern,Yang,So-Hartmann,w,consonant,
Daai,Southern,Yang,So-Hartmann,t,consonant,
