"Language","Dialect","Source","Segment","Type","Notes","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"Asho","Hill","Tignor","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Asho","Hill","Tignor","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Asho","Hill","Tignor","ɗ","consonant","","alveolar","implosive","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","sʰ","consonant","","alveolar","fricative","voiceless","aspirated","","","","","",""
"Asho","Hill","Tignor","z","consonant","","alveolar","fricative","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","n̥","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ɹ","consonant","","alveolar","approximant","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ɕ","consonant","","alveolo-palatal","fricative","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","tɕʰ","consonant","","alveolo-palatal","affricate","voiceless","aspirated","","","","","",""
"Asho","Hill","Tignor","tɕ","consonant","","alveolo-palatal","affricate","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","dʑ","consonant","","alveolo-palatal","affricate","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ɲ","consonant","","palatal","nasal","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ɲ̥","consonant","","palatal","nasal","voiceless","unaspirated","","","","","",""
"Asho","Hill","Tignor","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ŋ","consonant","","velar","nasal","voiced","unaspirated","","","","","",""
"Asho","Hill","Tignor","ŋ̊","consonant","","velar","nasal","voiceless","unaspirated","","","","","",""
