"unique_segments","Type","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"pʰ","consonant","bilabial","plosive","voiceless","aspirated","","","","","",""
"p","consonant","bilabial","plosive","voiceless","unaspirated","","","","","",""
"b","consonant","bilabial","plosive","voiced","unaspirated","","","","","",""
"m̥","consonant","bilabial","nasal","voiceless","unaspirated","","","","","",""
"m","consonant","bilabial","nasal","voiced","unaspirated","","","","","",""
"w","consonant","bilabial","approximant","voiced","unaspirated","","","","","",""
"t","consonant","alveolar","plosive","voiceless","unaspirated","","","","","",""
"tʰ","consonant","alveolar","plosive","voiceless","aspirated","","","","","",""
"ɗ","consonant","alveolar","implosive","voiced","unaspirated","","","","","",""
"s","consonant","alveolar","fricative","voiceless","unaspirated","","","","","",""
"sʰ","consonant","alveolar","fricative","voiceless","aspirated","","","","","",""
"z","consonant","alveolar","fricative","voiced","unaspirated","","","","","",""
"n̥","consonant","alveolar","nasal","voiceless","unaspirated","","","","","",""
"n","consonant","alveolar","nasal","voiced","unaspirated","","","","","",""
"ɹ","consonant","alveolar","approximant","voiced","unaspirated","","","","","",""
"l̥","consonant","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"l","consonant","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"ɕ","consonant","alveolo-palatal","fricative","voiceless","unaspirated","","","","","",""
"tɕʰ","consonant","alveolo-palatal","affricate","voiceless","aspirated","","","","","",""
"tɕ","consonant","alveolo-palatal","affricate","voiceless","unaspirated","","","","","",""
"dʑ","consonant","alveolo-palatal","affricate","voiced","unaspirated","","","","","",""
"ɲ","consonant","palatal","nasal","voiced","unaspirated","","","","","",""
"ɲ̥","consonant","palatal","nasal","voiceless","unaspirated","","","","","",""
"j","consonant","palatal","approximant","voiced","unaspirated","","","","","",""
"ŋ","consonant","velar","nasal","voiced","unaspirated","","","","","",""
"ŋ̊","consonant","velar","nasal","voiceless","unaspirated","","","","","",""
"k","consonant","velar","plosive","voiceless","unaspirated","","","","","",""
"kʰ","consonant","velar","plosive","voiceless","aspirated","","","","","",""
"g","consonant","velar","plosive","voiced","unaspirated","","","","","",""
"ʔ","consonant","glottal","plosive","voiceless","unaspirated","","","","","",""
"h","consonant","glottal","fricative","voiceless","unaspirated","","","","","",""
"ɦ","consonant","glottal","fricative","voiced","unaspirated","","","","","",""
"i","vowel","","","","","monophthong","high","front","unrounded","short","oral"
"ɪ","vowel","","","","","monophthong","near-high","near-front","unrounded","short","oral"
"ʏ","vowel","","","","","monophthong","near-high","near-front","rounded","short","oral"
"e","vowel","","","","","monophthong","high-mid","front","unrounded","short","oral"
"ɛ","vowel","","","","","monophthong","low-mid","front","unrounded","short","oral"
"ʉ","vowel","","","","","monophthong","high","central","rounded","short","oral"
"a","vowel","","","","","monophthong","low","central","unrounded","short","oral"
"u","vowel","","","","","monophthong","high","back","rounded","short","oral"
"ɤ","vowel","","","","","monophthong","high-mid","back","unrounded","short","oral"
"o","vowel","","","","","monophthong","high-mid","back","rounded","short","oral"
"ɔ","vowel","","","","","monophthong","low-mid","back","rounded","short","oral"
"ei","vowel","","","","","diphthong","","","","short",""
"ai","vowel","","","","","diphthong","","","","short",""
"au","vowel","","","","","diphthong","","","","short",""
"d","consonant","alveolar","plosive","voiced","unaspirated","","","","","",""
"ɲ̊","consonant","palatal","nasal","voiceless","unaspirated","","","","","",""
"ʊ","vowel","","","","","monophthong","near-high","near-back","rounded","short","oral"
"ɑɪ","vowel","","","","","diphthong","","","","short",""
"ɑʊ","vowel","","","","","diphthong","","","","short",""
"ɬ","consonant","alveolar","lateral fricative","voiceless","unaspirated","","","","","",""
"n̊","consonant","alveolar","nasal","voiceless","unaspirated","","","","","",""
"x","consonant","velar","fricative","voiceless","unaspirated","","","","","",""
"ɣ","consonant","velar","fricative","voiced","unaspirated","","","","","",""
"iː","vowel","","","","","monophthong","high","front","unrounded","long","oral"
"ɛː","vowel","","","","","monophthong","low-mid","front","unrounded","long","oral"
"ə","vowel","","","","","monophthong","mid","central","unrounded","short","oral"
